Barcode;VendorDescription;VendorSubdepartment;FullProductName;CommonName;Location
5010397002087;FF BABY CORN 150GRM;Prepared Produce;Baby Corn;Baby Corn;Aisle 1, Left
5020379091015;FF BABY PLUM TOMATOES;Salads;Baby Plum Tomatoes;Baby Plum Tomatoes,Plum tomatoes,Tomatoes;Aisle 1, Left
5020379114707;FF BEANSPROUTS;Prepared Produce;Beansprouts;Beansprouts;Aisle 1, Left
5020379116145;FF BEANSPROUTS;Prepared Produce;Beansprouts;Beansprouts;Aisle 1, Left
5010397002902;FF BLACKBERRIES;Fruit;Blackberries;Blackberries;Aisle 1, Left
5020379114370;FF BLACKBERRIES;Fruit;Blackberries;Blackberries;Aisle 1, Left
5020379114554;FF BLACKBERRIES;Fruit;Blackberries;Blackberries;Aisle 1, Left
5010397008584;FF BLKBRRY;Produce;Blackberries;Blackberries,Blackberry;Aisle 1, Left
5010397007136;FF BLUEBERRIES;Produce;Blueberry;Blueberry,Blueberries;Aisle 1, Left
5010397007532;FF BLUEBERRIES;Fruit;Blueberries;Blueberries,Farmfresh Blueberries;Aisle 1, Left
5010397002865;FF BLUEBERRIES 150GRM;Fruit;Farmfresh Blueberries;Farmfresh Blueberries,Blueberries;Aisle 1, Left
5020379090742;FF BROCCOLI & CAULI MIX;Vegetables;Broccoli & cauliflower Mix;Broccoli & cauliflower Mix,Cauliflower Brocoli Mix,Vegetable Mix;Aisle 1, Left
5010397003558;FF BUTTERNUT SQUASH;Vegetables;Butternut Squash;Butternut Squash;Aisle 1, Left
5020379090681;FF CABBAGE & LEEK;Prepared Produce;Cabbage and Leek;Cabbage and Leek,Leek & Cabbage;Aisle 1, Left
5020379090704;FF CARROT BATONS;Prepared Produce;Prepared Carrots;Prepared Carrots,Carrot batons;Aisle 1, Left
5020379090728;FF CARROT/CAULI & BROC;Prepared Produce;Carrots Cauliflower Broccoli;Carrots Cauliflower Broccoli;Aisle 1, Left
5020379092098;FF CAULIFLOWER;Vegetables;Cauliflower;Cauliflower,Cauliflowers;Aisle 1, Left
5020379091213;FF CELERY;Vegetables;Celery;Celery;Aisle 1, Left
5020379091190;FF CELERY HEARTS;Vegetables;Celery Hearts;Celery Hearts,Celery Heart;Aisle 1, Left
5055552406683;FF CHERRIES;Produce;Cherry;Cherry,Cherries;Aisle 1, Left
6111258870018;FF CHERRY TOMATOES;Salads;Cherry Tomatoes;Cherry Tomatoes,Tomatoes;Aisle 1, Left
8436019142509;FF CHERRY TOMATOES;Salads;Cherry Tomatoes;Cherry Tomatoes,Tomatoes;Aisle 1, Left
5020379091831;FF CHESTNUT MUSHROOMS;Vegetables;Chestnut Mushrooms;Chestnut Mushrooms,Mushrooms;Aisle 1, Left
20010300;FF CLEMENTINES;Fruit;Clementines;Clementines,Clementine;Aisle 1, Left
5020379090995;FF COCKTAIL TOMATOES;Salads;Cocktail Tomatoes;Cocktail Tomatoes,Tomatoes;Aisle 1, Left
5010397003152;FF CONFERENCE PEARS CL1;Fruit;Pears;Pears,Pear;Aisle 1, Left
5500000000932;FF CONFERENCE PEARS CL1;Fruit;Pear;Pear,Farm Fresh Conference Pears,Pears,Conference Pears;Aisle 1, Left
5500000062220;FF CONFERENCE PEARS CL1;Fruit;Pear;Pear,Farm Fresh Conference Pears,Pears,Conference Pears;Aisle 1, Left
5020379114509;FF COX APPL;Produce;Apple;Apple,Apples,Cox,Coxes;Aisle 1, Left
5010397003121;FF COX APPLE BAG 7PCE;Fruit;Apple;Apple,Cox Apples,Apples,Apple Bag;Aisle 1, Left
5020379091091;FF CUCUMBER PORTIONS;Salads;Cucumber;Cucumber,Cucumber Portions;Aisle 1, Left
220030000690;FF CUCUMBERS;Produce;Cucumber;Cucumber,Cucumbers;Aisle 1, Left
5020379083775;FF CUCUMBERS;Salads;Cucumber;Cucumber,Cucumbers;Aisle 1, Left
5020379091077;FF CUCUMBERS;Salads;Cucumbers;Cucumbers,Cucumber;Aisle 1, Left
5010397007198;FF CURLY KALE;Produce;Kale;Kale,Curly Kale,Kale;Aisle 1, Left
5010397007198;FF CURLY KALE;Produce;Kale;Kale,Curly Kale,Kale;Aisle 1, Left
5010397003183;FF DESSERT PEARS 4PK;Fruit;Pears 4 pack;Pears 4 pack,Dessert Pears,Pears,Pear;Aisle 1, Left
5020379092142;FF EXTRA LARGE GARLIC;Vegetables;Extra Large Garlic;Extra Large Garlic,Garlic;Aisle 1, Left
5010397002025;FF FINE BEAN BABY CARROT;Prepared Produce;Baby Carrots Fine Beans;Baby Carrots Fine Beans;Aisle 1, Left
6849;FF FINE GREEN BEAN 200GRM;Produce;Fine Green Beans;Fine Green Beans,Green Beans;Aisle 1, Left
5010397002100;FF FINE GREEN BEANS;Prepared Produce;Fine Green Beans;Fine Green Beans,Green beans;Aisle 1, Left
5055552408670;FF FLAT LEAF PARSLEY;Produce;Flat Leaf Parsley;Flat Leaf Parsley,Parsley;Aisle 1, Left
5010487348293;FF GALIA MELON;Fruit;Galia Melons;Galia Melons,Galia melon,Melon,Galia;Aisle 1, Left
5020379084000;FF GREEN APPLE 4PCK;Fruit;Apple;Apple,Apples,Green apples,Green Apple;Aisle 1, Left
5020379114608;FF HNYDEW MELON CL1;Fruit;Honeydew melon;Honeydew melon,melon,melons,Honeydew melons;Aisle 1, Left
5020379024099;FF HONEYDEW MELN CLASS1;Fruit;Honeydew Melons;Honeydew Melons,Honeydew Melon,Melon,Melons;Aisle 1, Left
5020379027700;FF ICEBERG LETTUCE PM;Salads;Iceberg Lettuce;Iceberg Lettuce,Lettuce;Aisle 1, Left
5010397003305;FF KIWI;Fruit;Kiwi;Kiwi,Kiwis;Aisle 1, Left
5020379090957;FF LARGE VINE TOMATOES;Salads;Vine Tomatoes;Vine Tomatoes,Tomatoes;Aisle 1, Left
5020379077354;FF LITTLE GEM TWIN PACK;Salads;Little Gem Lettuce;Little Gem Lettuce,Lettuce,Little Gem;Aisle 1, Left
8426785000325;FF LITTLE GEM TWIN PACK;Salads;Little Gem;Little Gem,Lettuce;Aisle 1, Left
5010397002810;FF LOOSE AVOCADO;Fruit;Avocado;Avocado,Avocados;Aisle 1, Left
68734;FF LOOSE BANANA;Fruit;Bananas;Bananas,Banana;Aisle 1, Left
5010397003824;FF LOOSE BANANA;Fruit;Bananas;Bananas,Banana;Aisle 1, Left
147;FF LOOSE BROCCOLI;Vegetables;Loose Broccoli;Loose Broccoli,Broccoli;Aisle 1, Left
147;FF LOOSE BROCCOLI;Vegetables;Loose Broccoli;Loose Broccoli,Broccoli;Aisle 1, Left
502037908380;FF LOOSE BROCCOLI;Vegetables;Broccoli;Broccoli;Aisle 1, Left
5010397002742;FF LOOSE BROWN ONION CL2;Vegetables;Brown Onion;Brown Onion,Brown Onions,Onions;Aisle 1, Left
502037901426;FF LOOSE CARROTS;Vegetables;Carrots;Carrots,Carrot;Aisle 1, Left
4381;FF LOOSE COCONUT;Produce;Coconut;Coconut;Aisle 1, Left
5500000043816;FF LOOSE COCONUT;Fruit;Coconuts;Coconuts,Farm Fresh Loose Coconut,Coconut,Coconuts;Aisle 1, Left
482;FF LOOSE COX APPLES;Fruit;Apples;Apples,Cox Apples,Apple;Aisle 1, Left
5500000000482;FF LOOSE COX APPLES;Fruit;Apples;Apples,Farm Fresh Loose Cox Apples,Cox Apples,Coxs,Apples;Aisle 1, Left
5011233077115;FF LOOSE EX LRG ORNGS CL1;Fruit;Oranges;Oranges,Large Oranges,Orange;Aisle 1, Left
5500000075428;FF LOOSE EX LRG ORNGS CL1;Fruit;Orange;Orange,Farm Fresh Loose Extra Large Oranges,Oranges,Extra Large Oranges,Large Oranges;Aisle 1, Left
154;FF Loose Green Pppr CL1;Salads;Loose Green Pepper;Loose Green Pepper;Aisle 1, Left
5011233086810;FF LOOSE LEMON CL1;Fruit;Lemon;Lemon,Lemons;Aisle 1, Left
5011233087237;FF LOOSE LIMES CL1;Fruit;Lime;Lime,Limes;Aisle 1, Left
5010397003350;FF LOOSE MANGO;Fruit;Mango;Mango,Mangoes;Aisle 1, Left
502037904194;FF LOOSE PARSNIPS;Vegetables;Parsnips;Parsnips,Parsnip;Aisle 1, Left
5500000006040;FF LOOSE PINK GRAPEFRUIT;Fruit;Pink Grapefruit;Pink Grapefruit,Farm Fresh Pink Grapefruit,Grapefruit;Aisle 1, Left
5010397003299;FF LOOSE RED G/FRUIT;Fruit;Grapefruit;Grapefruit,Red Grapefruit;Aisle 1, Left
5010397002728;FF LOOSE RED ONION CL2;Vegetables;Red Onions;Red Onions,Red Onion,Onions;Aisle 1, Left
5500000001618;FF LOOSE RED PEPPERS;Salads;Loose Red Peppers;Loose Red Peppers,Red Peppers,Peppers,Red Pepper;Aisle 1, Left
246;FF LOOSE ROYAL GALA CL1;Fruit;Apples;Apples,Gala Apples;Aisle 1, Left
5500000000246;FF LOOSE ROYAL GALA CL1;Fruit;Apples;Apples,Farm Fresh Loose Royal Gala Apples,Royal Gala Apples,Apple,Royal Gala;Aisle 1, Left
5500000001786;FF LOOSE YELLOW PEPPERS;Salads;Loose Yellow Peppers;Loose Yellow Peppers,Yellow Peppers,Peppers,Yellow Pepper;Aisle 1, Left
5010397003114;Ff Lse Braebrn Apples;Fruit;Braeburn Apples;Braeburn Apples,Apples,Apple;Aisle 1, Left
178;FF LSE BRAEBRN APPLES CL1;Fruit;Apples;Apples,Braeburn Apples;Aisle 1, Left
5500000000178;FF LSE BRAEBRN APPLES CL1;Fruit;Farm Fresh Loose Braeburn Apples;Farm Fresh Loose Braeburn Apples,Braeburn Apples,Apples,Braeburn,Apple;Aisle 1, Left
5010397003053;FF LSE BRAMLEY APPLES CL1;Fruit;Bramley Apples;Bramley Apples,Apples;Aisle 1, Left
5500000045346;FF LSE BRAMLEY APPLES CL1;Fruit;Bramley Apples;Bramley Apples,Apples,Apple,Cooking apple,Cooking apples,Bramleys;Aisle 1, Left
5020379091343;FF LSE GREEN PEPPERS CL1;Salads;Green Peppers;Green Peppers,Peppers;Aisle 1, Left
5500000001540;FF LSE GREEN PEPPERS CL1;Salads;Green Peppers;Green Peppers,Peppers,Green Pepper;Aisle 1, Left
5500000059862;FF LSE GREEN PEPPERS CL1;Salads;Green Peppers;Green Peppers,Peppers,Green Pepper;Aisle 1, Left
1168;FF LSE LG VINE TOMATO CL1;Vegetables;Tomatoes;Tomatoes,Vine Tomatoes;Aisle 1, Left
502037908063;FF LSE LG VINE TOMATO CL1;Salads;Large Vine Tomatoes;Large Vine Tomatoes,Vine Tomatoes,Tomatoes;Aisle 1, Left
5500000001168;FF LSE LG VINE TOMATO CL1;Salads;Large Vine Tomatoes;Large Vine Tomatoes,Large Vine Tomato,Vine Tomatoes,Vine Tomato,Tomatoes;Aisle 1, Left
5500000000314;FF LSE PINK LDY APPLE CL1;Fruit;Pink Lady;Pink Lady,Farm Fresh Pink Lady Apples,Apples,Pink Lady Apples,Pink Lady Apple,Apple;Aisle 1, Left
5500000058513;FF LSE PINK LDY APPLE CL1;Fruit;Pink lady;Pink lady,Farm Fresh Pink Lady Apples,Apples,Pink Lady Apples,Pink Lady Apple,Apple;Aisle 1, Left
5020379091329;FF LSE RED PEPPERS CL1;Salads;Peppers;Peppers,Red Peppers;Aisle 1, Left
123;FF LSE ROUND TOMATOES CL1;Salads;Tomatoes;Tomatoes,Loose Round Tomatoes,Round Tomatoes;Aisle 1, Left
502037901027;FF LSE ROUND TOMATOES CL1;Salads;Loose Round Tomatoes;Loose Round Tomatoes,Round Tomatoes,Tomatoes;Aisle 1, Left
5500000001236;FF LSE ROUND TOMATOES CL1;Salads;Loose Round Tomatoes;Loose Round Tomatoes,Round Tomatoes,Tomatoes;Aisle 1, Left
5020379091763;FF LSE SWEET POTATO;Vegetables;Sweet Potato;Sweet Potato,Swet Potatoes;Aisle 1, Left
5020379091565;FF LSE YELLOW PEPPERS CL1;Salads;Yellow Peppers;Yellow Peppers,Peppers;Aisle 1, Left
5010397007235;FF MANDARINS;Produce;Mandarins;Mandarins,Mandarin;Aisle 1, Left
